context_en,questions_en,answers_en,answer_start,answer_end
"The abomasum is the fourth and final stomach compartment in ruminants. It is a close counterpart of a monogastric stomach (E). , in humans or pigs), and the digesta is processed in the same way here. It primarily serves as a site for acid hydrolysis of microbial and dietary proteins, preparing these protein sources for further digestion and absorption in the small intestine. DIGESTA is finally carried to the small intestine, where digestion and absorption of nutrients occurs. Microorganisms produced in the reticulo-rumen are also digested in the small intestine.",What is the fourth and final stomach compartment in ruminants?,Abomasum,4,12
"Grande Saline Bay provides temporary anchorage for small vessels while Colombier Bay, to the north-west, is a 4 fathoms patch close to the middle entrance. In bytes of st. Jean Bay is a narrow cut through the reef there. The north and east sides of the island are fenced a short distance from shore by a visible coral reef. The reefs are mostly in shallow water and clearly visible. The coastal areas are dotted with beaches and many of these have offshore reefs, some of which form part of marine reserves.",What is the name of the deepest bay in St. Barts?,columbier bay,14,27
"Antibiotics have been widely used in animal husbandry. In the United States, the question of the emergence of antibiotic-resistant bacterial strains due to the use of antibiotics in livestock was raised by the US Food and Drug Administration (FDA) in 1977. In March 2012, the United States District Court for the Southern District of New York, in a decision brought by the Natural Resources Defense Council and others, ordered the FDA to revoke approval for the use of antibiotics in livestock, which Violated FDA regulations.",What are antibiotics used for besides sick people?,animal husbandry,37,53
"Beyoncé's second solo album B'Day was released in the US on September 5, 2006 to coincide with her twenty-fifth birthday. It sold 541,000 copies in its first week and debuted atop the Billboard 200, becoming Beyoncé's second number-one album in the United States. The album's lead single ""Déjà Vu"", featuring Jay Z, reached the top five on the Billboard Hot 100 chart. The second international single ""Irreversible"" was a worldwide commercial success, reaching number one in Australia, Hungary, Ireland, New Zealand and the United States. B'Day also produced three other singles; ""Ring Alarm"", ""Make Me Body"", and ""Green Light"" (released only in the United Kingdom).",How many albums did Beyonce sell in the first week when she released her second album?,"541,000",130,137
"The fossil record shows that the last few million years contained the greatest biodiversity in history. However, not all scientists support this idea, as there is uncertainty as to how strongly the fossil record is biased by the greater availability and preservation of recent geological sections. Some scientists believe that, corrected for artefact sampling, modern biodiversity may not be much different from the biodiversity of 300 million years ago. , while others reflect the fossil record reasonably well of the diversification of life. Estimates of current global macroscopic species diversity vary from 2 million to 100 million, with the best estimate being closer to 9 million, the vast majority being arthropods. In the absence of natural selection diversity appears to increase continuously.",What is the estimated variation of current global macroscopic species diversity?,2 million to 100 million,42,66
"Season three premiered on January 19, 2004. One of the most talked-about contestants during the audition process was William Latka whose off-key rendition of Ricky Martin's ""She Bangs"" received widespread attention. His exposure on the idol got him a record deal and surprisingly he became the third best selling singer from that season.",In what year did the third season of American Idol first air?,2004,38,42
"Economists Paul Krugman and U. Treasury Secretary Timothy Geithner explains the credit crisis through the implosion of the shadow banking system, which had become equal in importance to the traditional commercial banking sector described above. Without the ability to obtain investor funds in exchange for most types of mortgage-backed securities or asset-backed commercial paper, investment banks and other institutions in the shadow banking system cannot provide funds to mortgage firms and other corporations.",What is the system equivalent in importance to traditional commercial banking?,shadow banking system,123,144
"American Idol employs a panel of judges who critique contestants' performances. The original judges were record producer and music manager Randy Jackson, pop singer and choreographer Paula Abdul and music executive and manager Simon Cowell. The judging panel for the most recent season included country singer Keith Urban, singer and actress Jennifer Lopez, and jazz singer Harry Connick, JR. The show was originally hosted by radio personality Ryan Seacrest and comedian Brian Dunkelman, with Secret continuing for the rest of the season.",Which original judge was a music executive?,Simon Cowell,227,239
"In 1956, some colleges of technology received the designation Colleges of Advanced Technology. They became universities in the 1960s meaning they could award their own degrees. The designation ""Institute of Technology"" was sometimes used by polytechnics (Bolton), central institutions (Dundee, Robert Gordon), and postgraduate universities, (Cranfield and Wessex), most of which later adopted the designation university, and there There were two ""Institutes of Science and Technology"": UMIST and UWIST, part of the University of Wales. Loughborough University was called Loughborough University of Technology from 1966 to 1996, the only institution in the UK to have such a designation.",How many institutes of science and technology were affiliated with the University of Wales?,Two,442,445
"United States: The North American leg of the torch relay took place on 9 April in San Francisco, California. The day of relay officials led the torch on an uncontrolled route. The start was at McCovey Cove, where Norman Bellingham of the UK. The Olympic Committee passed the torch to the first torchbearer, Chinese 1992 Olympic champion swimmer Lin Li. The planned closing ceremony at Justin Herman Plaza was canceled and instead, a ceremony was held at San Francisco International Airport, where the torch was to leave for Buenos Aires. The route changes allowed the run to avoid large numbers of China supporters and protesters against China. As people learned that there would be no closing ceremony at Justin Herman Plaza, there were angry reactions. One protester was quoted as saying that the route changes were ""an effort to punish any organized protests that were planned."" San Francisco Board of Supervisors Chairman Aaron Peskin, a critic of Mayor Gavin Newsom, said it Huynh cynically planned to appease the State Department and the Chinese government because of the incredible influence of money. Newsom, on the other hand, said he felt it was in ""everybody's best interest"" and that he believed people should ""carry up the torch."" Peter Ueberroth, head of the U.S. Olympic Committee, praised the route changes, saying ""From a global perspective the city of San Francisco will be appreciated. ""Those who saw the torch were surprised and excited, as shown by live video from CBS and NBC. The cost to the city to host the event was reported to be $726,400 USD, about half of which was recovered from private fundraising. Mayor Gavin Newsom said his decision to reroute, in consultation with Police Chief Heather Fong, had avoided the ""exponential"" costs associated with mass arrests.",Who was the head of U? Olympic Committee?,Peter Ueberroth,220,235
"In August, the couple attended the 2011 MTV Video Music Awards, at which Beyoncé performed ""Love at the Top"" and began performing ""Tonight I want you on your feet, I want you on that love."" ""Feeling what is growing inside me"". At the end of the performance, she dropped her microphone, removed her blazer and rubbed her stomach, after confirming her pregnancy as she had said earlier in the evening. His appearance helped pull in that year's MTV Video Music Awards, the most-watched broadcast in MTV history, at 12. 4 million viewers; the announcement was listed in the Guinness World Records for ""Most tweets per second"" on Twitter, receiving 8,868 tweets per second and ""Beyonce pregnant"" was the most Googled term of the week of August 29, 2011.",Where did she announce her pregnancy?,2011 MTV Video Music Awards,35,62
"By September 2008, average US housing prices had declined by more than 20% from their mid-2006 peak. As prices declined, borrowers with adjustable-rate mortgages could not refinance to avoid the higher payments associated with rising interest rates and began to default. During 2007, lenders initiated foreclosure proceedings on approximately 1.3 million properties, an increase of 79% compared to 2006. This increased to 2.3 million in 2008, an increase of 81% compared to 2007. As of August 2008, 9.2% of all US mortgages outstanding were either delinquent or in foreclosure. By September 2009, this had increased to 14.4%.",What was the percentage increase on criminal proceedings from 2007 to 2008?,81%,458,461
"In the late 1910s and early 1920s, Whitehead gradually turned his attention from mathematics to the philosophy of science and finally to metaphysics. He developed a comprehensive spiritual system that originally drew from Western philosophy. Whitehead argued that reality consists of processes rather than physical objects, and that processes are defined by their interactions with other processes, thus rejecting the theory that reality is fundamentally constructed by bits of matter. Which exist independently of each other. Today Whitehead's philosophical works – especially Process and Reality – are regarded as foundational texts of process philosophy.","What did Whitehead believe reality was composed of, as opposed to material objects?",Procedures,284,294
"Because of the top secret nature of the work, Los Alamos was isolated. In Feynman's own words, ""There was nothing there."" Bored, he led his curiosity to pick combination locks on cabinets and desks used to secure papers. Feynman played many jokes on colleagues. In one case he found the combination to a locked filing cabinet by trying numbers he thought a physicist would use (it turned out to be 27-18-28, following the base of the natural logarithm, e = 2.71828...), and discovered that three filing cabinets where a colleague kept a set of atomic bomb research notes all had the same combination. He left a series of notes in the cabinets as a prank, which initially spiked his colleague, Frederick de Hoffmann, as a spy or saboteur who had gained access to atomic bomb secrets. On several occasions, Feynman drove to Albuquerque to see his ailing wife in a car borrowed from Klaus Fuchs, who was later believed to be a real spy for the Soviet Union, transporting nuclear secrets to Santa Fe in his car. used to do.",Feynman visited his wife in New Mexico City?,albuquerque,822,833
"Beyond the semi-finals, the contestant's fate is decided by public vote. During the contestant's performance, as well as the recap at the end, a toll-free telephone number for each contestant is displayed on the screen. For a two-hour period after the episode ends (up to four hours for the finals) in each US time zone, viewers can call or send a text message to their favorite contestant's telephone number, and each call or text message Register as one to vote for that contestant. Viewers are allowed to vote as many times as they can within the two-hour voting window. However, the show reserves the right to discard votes by power dialer. One or more least popular contestants may be eliminated in consecutive weeks until a winner emerges. Over 110 million votes were cast in the first season, and the season ten seasonal total brought the total to 750 million. Voting via text messaging was made available in the second season when AT&T Wireless joined as a sponsor of the show, and 7. 5 million text messages were sent to the American idol that season. The number of text messages grew rapidly, reaching 178 million texts by season eight. Online voting was introduced for the first time in season ten. Votes are counted and verified by Telescope Inc.",At what point does the public start voting for the contestants?,semi final,11,21
"In December 2006, Robert ""Evel"" Keyvel sued West for trademark infringement in West's video for ""Touch the Sky"". Knievele took issue with a ""sexually charged video"" in which West takes on the persona of ""Evel Knievel"" and attempts to fly a rocket over a canyon. The suit claimed infringement on Knievel's trademark name and likeness. Knievel also claimed that the ""obscene and offensive"" images in the video damaged his reputation. The suit sought monetary damages and an injunction to stop distribution of the video. West's attorney argued that the music video amounted to satire and was therefore covered under the First Amendment. A few days before his death in November 2007, Clever settled the suit after paying a visit to West, ""I thought he was a wonderful guy and quite a gentleman.",When Chatur settled the argument with the West?,November 2007,665,678
"At the age of 21 he settled in Paris. After that, during the last 18 years of his life, he gave only some 30 public performances, preferring the more intimate environment of the salon. He supported himself by selling his compositions and selling pianos, for which he was in high demand. Chopin formed a friendship with Franz Liszt and was admired by many of his musical contemporaries, including Robert Schumann. In 1835 he obtained French citizenship. After his failed engagement to Maria Wodzińska from 1837 to 1847 he maintained an often troubled relationship with the French writer George Sand. A brief and unhappy trip to Majorca with Sand in 1838–39 was one of his most productive periods of composition. In her last years, she was financially supported by her admirer Jane Stirling, who also arranged for her to visit Scotland in 1848. Through most of his life, Chopin suffered from poor health. He died in Paris in 1849, probably of tuberculosis.",In which year did he acquire citizenship in France?,1835,416,420
"In the Mahayana, the Buddha cannot be seen as merely human, but as the worldly projection (see Dharmakaya) of a beginningless and endless, omnipresent being beyond limit and beyond thought. Furthermore, in some Mahayana sutras, the Buddha, the Dharma, and the Sangha are seen as essentially one: all three are seen as the eternal Buddha.","What are the Putras seeing in terms of the Buddha, the Dharma and the Sangha?",Mahayana,7,15
"Beyoncé Giselle Knowles-Carter (/biːjɒnseɪ/ BEE-yon-say) (born September 4, 1981) is an American singer, songwriter, record producer, and actress. Born and raised in Houston, Texas, she performed in various singing and dancing competitions as a child, and rose to fame in the late 1990s as the lead singer of the R&B girl-group Destiny's Child. Rose. Managed by their father, Matthew Knowles, the group became one of the world's best-selling girl groups. Their hiatus led to the release of Beyoncé's debut album, Dangerously in Love (2003), which established her as a solo artist worldwide, earning five Grammy Awards and spawning the Billboard Hot 100 number-one single ""Crazy In Love"" and ""Baby Boy"".",What sports did Beyonce compete in when she was growing up?,singing and dancing,134,153
"Fryderyk may have had some piano instruction from his mother, but his first professional music teacher was the Czech pianist Wojciech Żywny from 1816 to 1821. His older sister Ludwika also took lessons from Żywny, and sometimes played doubles with her brother. It quickly became clear that he was a child prodigy. By the age of seven Frederick began giving public concerts, and in 1817 he composed two Polonaises in G minor and B-flat major. His next work, a Polonaise in A-flat major of 1821, dedicated to Żywyny, is his oldest surviving musical manuscript.",Would Chopin's sisters play music with him?,Ludvika,10,17
"Walpole always denied that he was ""Prime Minister"", and throughout the 18th century Members of Parliament and legal scholars continued to deny that any such position was known to the Constitution. George II and George III made vigorous efforts to reclaim the personal power of the king, but the increasing complexity and expense of government meant that a minister who could command the loyalty of the Commons was increasingly necessary. The long tenure of the wartime Prime Minister William Pitt the Younger (1783–1801), combined with George III's mental illness, consolidated the power of the post. The title was first known on government documents during the administration of Benjamin Disraeli but did not appear in the formal British order of precedence until 1905.","Apart from Walpole, who denied that there was no such thing as a Prime Minister?",Members of Parliament and legal scholars,84,124
"With the exception of seasons one and two, the contestants perform in front of the Onward studio audience in the semi-finals. They perform with a full band in the finals. From season four to season nine, the American Idol band was led by Ricky Minor; from season ten onward, Ray Chubb. Assistance may also be provided by vocal coaches and song arrangers, such as Michael Orland and Debra Byrd, behind the scenes for the contestants. Starting in season seven, contestants can perform with a musical instrument from the Hollywood round. In the first nine seasons, the shows usually remained on Tuesday nights, followed by results shows on Wednesdays in the United States and Canada, but moved to Wednesdays and Thursdays in season ten.",Who was the American Idol band leader in season five?,ricky mine,67,77
"Beyoncé is believed to have first begun a relationship with Jay Z after collaborating on ""'03 Bonnie and Clyde"", which appeared on his seventh album The Blueprint 2: The Gift and the Noise (2002). Beyoncé appeared as Jay Z's girlfriend in the music video for the song, which would further fuel speculation of their relationship. On April 4, 2008, Beyoncé and Jay Z were married without publicity. As of April 2014, the couple have sold a combined 300 million records together. The couple are known for their private relationship, although they have appeared to be more relaxed in recent years. Beyoncé suffered a miscarriage in 2010 or 2011, which she described as ""the saddest thing."" She returned to the studio and wrote music to cope with the loss. In April 2011, Beyoncé and Jay Z traveled to Paris to shoot the album cover for her 4th album, and unexpectedly Paris became pregnant.",What did Beyoncé describe as the saddest thing in her life?,Abortion,24,32
"The first attempts to establish a proper governing body and adopt an existing set of rugby rules were the Canadian Foot Ball Association, organized on March 24, 1873, followed by the Canadian Rugby Football Union (CRFU), founded on June 12, 1880, which Teams included from Ontario and Quebec. Later both the Ontario and Quebec Rugby Football Unions (ORFU and QRFU) were formed (January 1883), and then the Interprovincial (1907) and Western Interprovincial Football Unions (1936) (IRFU and WIFU). The CRFU reorganized into the umbrella organization creating the Canadian Rugby Union (CRU) in 1891. The original precursors to the current Canadian Football League were established in 1956 when the IRFU and WIFU formed an umbrella organization, the Canadian Football Council (CFC). And then in 1958 the CFC left the CRFU to become the CFL.",On what date was the first governing body for Canadian football formed?,"March 24, 1873",151,165
"First u. The Army post established in Montana in 1866 was Camp Cooke on the Missouri River to accommodate steamboat traffic going to Fort Benton, Montana. More than a dozen additional military posts were established in the state. Discoveries of gold in various parts of Montana and surrounding states led to increased pressure on land ownership and control. Major battles took place in Montana during Red Cloud's War, the Great Sioux War of 1876, the Nez Purse War, and the conflict with the Piegan Blackfeet. The most notable of these were the Marias Massacre (1870), the Battle of the Little Bighorn (1876), the Battle of the Big Hole (1877) and the Battle of Bear Paw (1877). The last recorded conflicts in Montana between U. In 1887 the Army and Native Americans clashed during the Battle of the Crow Agency in big horn country. Indian survivors who signed were generally required to move to reservations.",What year was the Great Sioux War?,1876,441,445
"Beyoncé has won 20 Grammy Awards as a solo artist and as a member of Destiny's Child, making her the second most awarded female artist by the Grammys, behind Alison Krauss, and the most nominated woman in Grammy Awards history with 52 nominations. ""Single Ladies (Put a Ring on It)"" won Song of the Year in 2010, while ""Say My Name"" and ""Love in Love"" had previously won Best R&B Song. Dangerously in love, b'day and I am. Sasha Fierce won Best Contemporary R&B Album. Beyoncé set the record for most Grammy Awards won by a female artist in one night in 2010 when she won six, breaking the tie previously held by Alicia Keys, Norah Jones, Alison Krauss, and Amy Winehouse. Had this on par with Adele in 2012. Following her role in Dreamgirls she was nominated for Best Original Song for ""Listen"" and Best Actress at the Golden Globe Awards, and for Outstanding Actress in a Motion Picture at the NAACP Image Awards. Beyoncé won two awards at the Broadcast Film Critics Association Awards 2006; Best Song for ""Listen"" and Best Original Soundtrack: Music from a Motion Picture for Dreamgirls.",When did he set the record for most Grammy Awards won in one night?,2010,307,311
"Although initially thought to have originated as a man-made version of an extant canid species (extensive genetic studies conducted during the 2010s, extensive genetic studies conducted during the 2010s indicate that dogs descended from an extinct wolf- Like the canine, they separated from Eurasia 40,000 years ago. Being the oldest domesticated animals, their long association with people has allowed dogs to be uniquely intractable with human behavior, as well as on a starch-rich diet. increase which would be inadequate for other cabid species.",What was done in 2010 to determine where the dogs originated?,comprehensive genetic study,106,133
"During the last century, a rapid decline in biodiversity has been observed. In 2007, German Federal Environment Minister Sigmar Gabriel estimated that up to 30% of all species would become extinct by 2050. Of these, one eighth of known plant species are threatened with extinction. Estimates as high as 140,000 species per year (based on species range theory). This data indicates unsustainable ecological practices, as few species emerge each year. [citation needed] Nearly all scientists acknowledge that the rate of species loss is higher now than at any time in human history, with extinctions occurring at rates hundreds of times higher than background extinction rates. As of 2012, some studies suggest that 25% of all mammal species could become extinct within 20 years.",Who is the German Federal Environment Minister?,sigmar gabriel,121,135
"Beyoncé has worked with Tommy Hilfiger for the fragrances True Star (a cover version of ""On a Star"" and True Star Gold; she also promoted Emporio Armani's Diamonds fragrance in 2007. Beyoncé released her first official fragrance , launched in summer 2010. The commercial, which included the 1956 song ""Fever"", was shown in the United Kingdom after the water was released as it featured an image of Beyoncé lying naked in a room. In February 2011, Beyoncé launched her third fragrance, Heat. In September 2011, the Carter Show limited edition version of Heat was released. The six editions of Summer are the world's best-selling celebrity fragrance lines, with sales of over $400 million.",How many versions of summer have been launched?,six editions,88,100
"Noted Indian social activist and a retired Indian Police Service (IPS) officer Kiran Bedi declined to comment, saying ""she does not want to run into the phenomenon as a 'caged woman'."" On 15 April, Bollywood actress Soha Ali Khan pulled out of the Olympic torch relay citing ""very strong personal reasons"". On 16 April, a protest ""against Chinese repression in Tibet"" was held in Delhi, and was broken up by the police.",Who protested in Delhi?,Police,50,56
"Some advocates for Tibet, Darfur, and the spiritual practice Falun Gong, planned to protest against the torch's April 9 arrival in San Francisco. China had already requested a torch route to San Francisco. On April 7, 2008, two days before the actual torch relay, three activists carrying Tibetan flags scaled the suspension cables of the Golden Gate Bridge to unfurl two banners, one saying ""One World, One Dream. Free: Fee Tibet"", and another, ""Free Tibet '08"". Among them was San Francisco resident Laurel Sutherlin, who spoke live from a cellphone to local TV station KPIX-CBS 5, asking the International Olympic Committee to ask China to deny the torch permission to pass through Tibet. ""Sutherlin said he was concerned that the torch's planned route through Tibet would lead to more arrests and that Chinese authorities would use force to stifle dissent."" Three activists and five supporters were charged with trespassing, conspiracy and public nuisance. Have to face related charges.",How many workers could be charged with crimes for the bridge stunt?,Three,264,269
"Adult contemporary traces its roots to the easy listening format of the 1960s, which adopted a 70–80% instrumental – 20–30% vocal mix. Some offered 90% instruments, and a handful were entirely instrumental. The easy listening format, as it was first known, was born out of a desire by some radio stations in the late 1950s and early 1960s to play current hit songs, but described itself as ""rock and roll"". "" were separated from being branded as stations. Billboard first published the Easy Listening chart on July 17, 1961, with 20 songs; the first number one was ""The Bitch Weevil Song"" by Brook Benton. Chart described himself as ""not too far in the direction"".",Who did the first #1 on the easy listening chart?,brooke benton,36,49
"The term genocide was later incorporated as a descriptive term for the process of prosecution, but not yet as a formal legal term, defining genocide as ""a coordinated strategy to destroy a group of people."" ""A process that can be accomplished through total destruction as well as strategies that eliminate key elements of a group's basic existence, including language, culture, and economic infrastructure."" Created a concept of organizing international relations and community to prevent and prevent the occurrence of incidents within international society. Australian anthropologist Peg Levin coined the term ""ritualization"" to describe the destruction of a group's cultural identity without destroying its members.","Before it was a formal legal term, how was the term ""genocide"" used in a prosecution scenario?",as a descriptive term,4,25
"Chopin arrived in Paris in late September 1831; he would never return to Poland, thus becoming one of the many emigrants of the Polish Great Migration. In France he used French versions of his given names, and after obtaining French citizenship in 1835, he traveled on a French passport. However, Chopin remained in exile close to his fellow Poles as friends and confidants and he never felt completely comfortable speaking French. Chopin's biographer Adam Zamoyski writes that he did not consider himself French, despite his father's French origins, and always saw himself as a Pole.","After 1831, Chopin did not return to which country?",poland,73,79
"Candice Glover, 23, took the runner-up spot with Cree Harrison. Glover is the first woman to win American Idol since Jordin Sparks. Glover released ""I'm Beautiful"" as a single while Harrison released ""All Cried"" shortly after the show. Glover sold poorly with her debut album, and this is also the first season that the runner-up was not signed by a music label.",This is the first season when what did not happen to the first runner?,Not signed by a music label,338,365
"Expectations were high for the AFL when interim commissioner Eddy Neeti announced his resignation, citing the obsolescence of his position in the reformed league. Two weeks later, the Los Angeles Avengers announced that they were formally folding the franchise. A month later, the league missed the deadline to formally ratify the new collective bargaining agreement and announced it was eliminating health insurance for players. Progress halted upon return, and no announcement was made regarding the future of the league.",How many weeks after Policy's resignation did the Avengers fold?,Two,163,166
"William Pitt, who entered the cabinet in 1756, had a grand vision for the war that made it completely different from previous wars with France. As Prime Minister Pitt led Britain to a grand strategy of capturing the entire French Empire, particularly its possessions in North America and India. Britain's main weapon was the Royal Navy, which could control the sea and required many invasion troops. He also planned to use colonial forces from the thirteen American colonies, operating under the command of British regulars, to invade New France. To tie up the French army it gave subsidies to its European allies. Pitt headed the government from 1756 to 1761, and even thereafter the British continued their strategy. It proved to be a complete success. Pitt had a clear appreciation of the immense value of the royal possessions, and realized how weak the French Empire was.",What places does Pitt want from France?,North America and India,270,293
"In August 2008, West planned to open 10 Fatburger restaurants in the Chicago area; the first was set to open in Orland Park in September 2008. The second in January 2009, while the third location has not yet been revealed, although the process is being finalized. His company, KW Foods LLC, purchased the rights to the chain in Chicago. Eventually, in 2009, only two locations actually opened. In February 2011, West closed the Fatburger located in Orland Park. Later that year, the remaining Beverly location was also closed.",When did Kanye's last Fatburger restaurant close?,2011,406,410
"Biodiversity provides important support for drug discovery and availability of medicinal resources. A significant proportion of drugs are derived directly or indirectly from biological sources: at least 50% of pharmaceutical compounds on the US market are derived from plants, animals, and micro-organisms, while approximately 80% of the world's population depends on primary health care. For medicines from nature (used in modern or traditional medical practice). Only a small fraction of wild species have been investigated for medical potential. Biodiversity has been important to advances in the entire field of bionics. Evidence from market analysis and biodiversity science suggests that the decline in production from the pharmaceutical sector since the mid-1980s can be attributed to the move away from natural product exploration (""bioprospecting"") in favor of genomics and synthetic chemistry. , in fact claims about the value of undiscovered pharmaceuticals may not provide sufficient incentives for companies in free markets due to the high cost of developing them; meanwhile, natural products have a potential to support important economic and health innovation. Has a long history. Marine ecosystems are particularly important, although inappropriate bioprospecting can exacerbate biodiversity loss, as well as violate the regulations of the communities and states from which resources are taken.",In which areas has biodiversity made significant progress?,bionics,616,623
"The abbey was restored to Benedictine under the Catholic Mary I of England, but they were again evacuated in 1559 under Elizabeth I. In 1560, Elizabeth re-established Westminster as a ""Royal Peculiar"" – a church of the Church of England directly responsible to the sovereign rather than a diocesan bishop – and renamed it the Collegiate Church of St Peter (i.e. a non-canonical cathedral). A cathedral church with an attached chapter, headed by a dean, was created, the last of the Abbots of Mary.",What was Abby's new name when Elizabeth I reinstalled it?,Collegiate Church of St. Peter,205,235
"Journalists Without Borders organized several symbolic protests, including scaling the Eiffel Tower by hanging a protest banner, and hanging a similar banner from Notre Dame Cathedral.",What did Journalists Without Borders do to put a protest banner on this?,Eiffel Tower,87,99
"Archaeological finds show that ""Nanjing Man"" lived 500 thousand years ago. Jun, a type of wine vessel, was found to exist in the Beiyinyangying culture of Nanjing about 5000 years ago. Late in the Shang dynasty, Taibo of Zhou came to Jiangnan and founded the Wu state, and the first stop is in the Nanjing area according to some historians based on discoveries in Taowu and Hushu culture. According to legend, [Jo. ] King Fuchai of the Wu state established a fort called A Fort (冶城) in the present-day Nanjing area in 495 BC. Later in 473 BC, Yu conquered Wu and built the fortress of Yuecheng (越城) on the outskirts of present day Zhonghua Gate. In 333 BC, after overthrowing the state of Yu, the Chu state created Jinling Yi (金陵邑) in the western part of present-day Nanjing. It was named Moling (秣陵) during the reign of Qian Shi Huang. Since then, the city has experienced destruction and renovation several times. [citation needed] The area was part of Kuiji, Zhang and Danyang Prefectures in the Qian and Han dynasties and is part of the Yangzhou region which was established as one of the country's 13 supervisory and administrative regions in the 5th year of Yuanfeng in the Han dynasty. (106 BC). Nanjing was later the capital of Danyang Prefecture, and was the capital city of Yangzhou for about 400 years from the late Han to the early Tang.","How long before ""Nanjing Man"" live?",500 thousand years ago,51,73
"West, along with her mother, founded the ""Kanye West Foundation"" in Chicago in 2003 with a mission to battle dropout and illiteracy rates, while partnering with community organizations to provide music education to the underprivileged. To provide youth access. In 2007, West and the foundation partnered with Strong American Schools as part of their ""Ed in '08"" campaign. As a spokesperson for the campaign, West appeared in a series of PSAs for the organization, and hosted an inaugural benefit concert in August that year.",What mission other than dropout and illiteracy rates did the Kanye West Foundation try to improve?,music education,196,211
"Others have pointed out that many of these loans were not sufficient to cause a crisis of this magnitude. In an article in Portfolio magazine, Michael Lewis spoke with a trader who noted that ""not enough Americans with [bad debt] to satisfy investors' appetite for the end product."" ""Essentially, investment banks and hedge funds used financial innovations to short the real value of the underlying mortgage loan, using credit default swaps, collateralized debt obligations, and derivatives called synthetic CDOs. By using.",Did financial innovation enable investment banks and hedge funds to become big moneymakers?,"Credit Default Swaps, Collateralized Debt Obligations and Synthetic CDOs",442,514
"In 1817 the Saxon Palace was requisitioned by the Russian governor of Warsaw for military use, and the Warsaw Lyceum was re-established in the Kazimierz Palace (today the Rectorate of Warsaw University). Fryderyk and his family moved into a building, which still survives, adjacent to Kazimierz Palace. During this period, Friederike was occasionally invited to the Belvedere Palace as a playmate for the son of the ruler of Russian Poland, Grand Duke Constantine; he played piano for the duke and composed a march for him. . Julian Ursyn Niemcewicz, in his dramatic eclipse, in ""Nasze Przebiegi"" (""Our Sermons"", 1818), attests to the popularity of ""little Chopin.""",In which establishment today was it known as the Warsaw Lyceum during the time?,University of Warsaw,70,90
"Centralized organizational control of the Rutherford Watch Tower Society. In 1919, he instituted the appointment of a director to each congregation, and a year later all members were instructed to report their weekly evangelistic activity to the Brooklyn headquarters. At an international conference held in Cedar Point, Ohio, in September 1922, a new emphasis was placed on house-to-house evangelism. Significant changes to the presidency and administration were regularly introduced during Rutherford's twenty-five years as president, including the 1920 proclamation that the Jewish patriarchs (such as Abraham and Isaac) would be resurrected in 1925, at the millennium of Christ. The beginning will be initiated. Frustrated with the changes, thousands defected during the first part of Rutherford's tenure, leading to the formation of several Bible Student organizations independent of the Watch Tower Society, most of which still exist. By the mid-1919s, as many as one in seven Russell-era Bible students had ceased their association with the society, and as many as two-thirds by the late 1920s.",How long was Rutherford's tenure as president of the society?,twenty five years,155,172
"Continental Portugal's 89,015 km2 (34,369 sq mi) area is served by four international airports located near the major cities of Lisbon, Porto, Faro and Beja. Lisbon's geographical location makes it a stopover for many foreign airlines at many airports within the country. The primary flag-carrier tap is Portugal, although several other domestic airlines provide services into and out of the country. The government decided to build a new airport outside Lisbon at Élisabeth, to replace Lisbon Portela Airport, although this plan has stalled due to austerity. Currently, the most important airports are in Lisbon, Porto, Faro, Funchal (Madeira), and Ponta Delgada (Azores), managed by the national airport authority group ANA – Aeroportos de Portugal.",How many national airports does Portugal have?,Four,67,71
"The executive office of the Prime Minister is commonly called the Office of the Prime Minister in the case of Canada and other Commonwealth countries, it is called the Cabinet Office in the United Kingdom. Some Prime Minister's offices include cabinet roles. In other countries, it is called the Department of the Prime Minister or the Department of the Prime Minister and Cabinet for Australia.",What is the head of government office in Britain?,cabinet Office,14,28
"In 14th-century England, hound (from Old English: hund) was the general term for all domestic canines, and dog referred to a group including the mastiff, a subtype of hound. It is believed that this ""dog"" type was so common, it eventually became the prototype of the ""hound"" category. By the 16th century, dog had become the generic term, and hound had begun to refer only to types used for hunting. The word ""hound"" is ultimately derived from the Proto-Indo-European word *kwon- ""dog"".",When did dog become the common word for dog?,16th century,3,15
"Dog meat is eaten in some East Asian countries, including Korea, China, and Vietnam, a practice that dates back to antiquity. It is estimated that 13–16 million dogs are killed and consumed in Asia each year. Other cultures, such as Polynesia and pre-Columbian Mexico, also consumed dog meat throughout their history. However, Western, South Asian, African, and Middle Eastern cultures, in general, view the consumption of dog meat as taboo. However, in some places, such as rural areas of Poland, dog fat is believed to have medicinal properties—for example being good for the lungs. Dog meat is also eaten in some parts of Switzerland. Proponents of eating dog meat have argued that it is Western hypocrisy to make a distinction between livestock and dogs, and that there is no difference with eating the meat of different animals.",What is considered dog fat in some parts of Poland?,medicinal properties,526,546
"California Governor Arnold Schwarzenegger signs ""Donda West Law"", legislation that makes it mandatory for patients to provide medical clearance for elective cosmetic surgery.",What was the name of the law passed by Arnold Schwarzenegger?,"""Donda West Law""",48,64
